"term","frequency","type_"
"João Batista de Castro Júnior",1,"NAME"
"João Batista de Cerqueira",1,"NAME"
"João Batista Lopes Da Silva",1,"NAME"
"João Batista Pereira Neto",1,"NAME"
"João Batista Vicente Do Nascimento",1,"NAME"
"joaobcjunior",2,"ABSTRACT"
"Joao Bosco Gertrudes",1,"NAME"
"Joao Bosco Pavao",1,"NAME"
"João Carlos Baptista Jorge da Silva",1,"NAME"
"João Carlos Dantas De Andrade Barbosa",1,"NAME"
"João Carlos De Padua Andrade",1,"NAME"
"João Carlos Medeiros",1,"NAME"
"Joao Carlos Teixeira Dias",1,"NAME"
"João Danilo Batista de Oliveira",1,"NAME"
"João de Azevedo Cardeal",1,"NAME"
"João Diogenes Ferreira dos Santos",1,"NAME"
"João Evangelista Do Nascimento Neto",1,"NAME"
"João Evangelista Dos Santos Filho",1,"NAME"
"João Gabriel Lima da Silva",1,"NAME"
"Joao Helio Reale Da Cruz",1,"NAME"
"João Henrique Moura Oliveira",1,"NAME"
"João José de Santana Borges",1,"NAME"
"João Luciano Andrioli",1,"NAME"
"João Luis Almeida Da Silva",1,"NAME"
"João Luiz Coimbra",1,"NAME"
"João Milton Rocha Gusmão",1,"NAME"
"João Oldan de Alencar Junior",1,"NAME"
"João Oliveira De Andrade",1,"NAME"
"João Paulo Moreira de Carvalho Souza",1,"NAME"
"João Pedro De Castro Nunes Pereira",1,"NAME"
"João Pedro Pedrosa Cruz",1,"NAME"
"João Pereira Oliveira Júnior",1,"NAME"
"João Phelipe Santiago",1,"NAME"
"João Reis Novaes",1,"NAME"
"João Rodrigo Araújo Santana",1,"NAME"
"João Santana Gomes Melo",1,"NAME"
"João Silva Rocha Filho",1,"NAME"
"João Smith Gomes Dos Santos",1,"NAME"
"João Sotero Do Vale Júnior",1,"NAME"
"João Wilker Aparecido Guimarães Da Silva",1,"NAME"
"joãozinho",2,"ARTICLE"
"joãozinho",2,"SPEAKER"
"joaquim",4,"SPEAKER"
"joaquim",6,"ABSTRACT"
"joaquim",8,"BOOK"
"joaquim",29,"ARTICLE"
"joaquim",85,"BOOK_CHAPTER"
"Joaquim de Almeida Dultra",1,"NAME"
"Joaquim Pedro Soares Neto",1,"NAME"
"Joaquim Perfeito Da Silva",1,"NAME"
"Joaquim Tavares Neto",1,"NAME"
"joazeiro",6,"ARTICLE"
"job",1,"SPEAKER"
"job",2,"ABSTRACT"
"job",14,"ARTICLE"
"joba",1,"SPEAKER"
"jobim",2,"ARTICLE"
"joca",5,"ARTICLE"
"Joceli Rocha Lima",1,"NAME"
"Jocely Santos Caldas Almeida",1,"NAME"
"Joceneide Cunha Dos Santos",1,"NAME"
"Jocenildes Zacarias Santos",1,"NAME"
"Joceval Andrade Bitencourt",1,"NAME"
"Jocilene Santana Prado",1,"NAME"
"Jocimara Souza Britto Lobão",1,"NAME"
"Jocinei Ferreira Constâncio",1,"NAME"
"jock",1,"ARTICLE"
"jocô",2,"ARTICLE"
"joconde",2,"ARTICLE"
"jocoso",2,"ARTICLE"
"jocoso",8,"BOOK_CHAPTER"
"jocu",2,"ARTICLE"
"joe",2,"ARTICLE"
"joeel",2,"SPEAKER"
"joel",2,"ARTICLE"
"joel",8,"BOOK_CHAPTER"
"joelho",8,"BOOK_CHAPTER"
"joelho",10,"ABSTRACT"
"joelho",16,"ARTICLE"
"joelhos",1,"ARTICLE"
"joelhos",8,"BOOK_CHAPTER"
"Joelia Martins Barros",1,"NAME"
"joelma",2,"ARTICLE"
"Joelma Boaventura Da Silva",1,"NAME"
"Joelma Ferreira Dos Santos",1,"NAME"
"Joelma Gomes De Oliveira Bispo",1,"NAME"
"Joelma Oliveira da Silva",1,"NAME"
"Joel Pereira Felipe",1,"NAME"
"Joel Queiroga Ferreira",1,"NAME"
"Joelson Alves Onofre",1,"NAME"
"Joelson Pereira De Sousa",1,"NAME"
"joga",2,"ARTICLE"
"jogada",2,"ARTICLE"
"jogado",1,"ARTICLE"
"jogador",2,"ABSTRACT"
"jogadoras",4,"ARTICLE"
"jogadores",14,"ARTICLE"
"jogam",8,"BOOK_CHAPTER"
"jogando",8,"ARTICLE"
"jogando",8,"BOOK"
"jogando",8,"BOOK_CHAPTER"
"jogar",10,"ARTICLE"
"jogar",16,"BOOK_CHAPTER"
"jogo",10,"SPEAKER"
"jogo",28,"ABSTRACT"
"jogo",56,"BOOK"
"jogo",140,"ARTICLE"
"jogo",523,"BOOK_CHAPTER"
"jogolu",1,"SPEAKER"
"jogoludi",1,"SPEAKER"
"jogos",64,"SPEAKER"
"jogos",92,"ABSTRACT"
"jogos",104,"BOOK"
"jogos",154,"ARTICLE"
"jogos",462,"BOOK_CHAPTER"
"jogoteca",1,"ABSTRACT"
"johanna",6,"SPEAKER"
"johannes",2,"ARTICLE"
"johelle",1,"ABSTRACT"
"john",2,"SPEAKER"
"john",10,"ABSTRACT"
"john",17,"ARTICLE"
"john",24,"BOOK_CHAPTER"
"johns",1,"ABSTRACT"
"johnson",3,"ARTICLE"
"joia",1,"SPEAKER"
"joia",8,"BOOK_CHAPTER"
"jóias",8,"BOOK_CHAPTER"
"joice",1,"ABSTRACT"
"Joice Requião Costa de Santana",1,"NAME"
"Joilma Silva Carneiro",1,"NAME"
"Joilson Cruz da Silva",1,"NAME"
"Joilson Silva Ferreira",1,"NAME"
"join",2,"SPEAKER"
"join",4,"ARTICLE"
"joinpe",29,"SPEAKER"
"joinpp",2,"SPEAKER"
"joint",2,"ABSTRACT"
"joint",12,"ARTICLE"
"joint",18,"SPEAKER"
"joit",2,"SPEAKER"
"joja",1,"ARTICLE"
"Jolanta Rekawek",1,"NAME"
"jolla",1,"ABSTRACT"
"Jo Luis Passos De Andrade",1,"NAME"
"Jomar Gomes Jardim",1,"NAME"
"jonafes",2,"SPEAKER"
"jonas",1,"ABSTRACT"
"jonas",1,"SPEAKER"
"jonas",4,"ARTICLE"
"jonas",16,"BOOK_CHAPTER"
"Jonas Boamorte Dos Santos",1,"NAME"
"Jonas Martins Santos",1,"NAME"
"Jonathan De Oliveira Molar",1,"NAME"
"Jonathas Sousa Reis",1,"NAME"
"jones",2,"ARTICLE"
"Jones Garcia Da Mata",1,"NAME"
"jonesi",2,"ARTICLE"
"jonglage",2,"SPEAKER"
"jonnead",2,"SPEAKER"
"jonquet",2,"ARTICLE"
"Jonson Ney Dias Da Silva",1,"NAME"
"jonutri",2,"SPEAKER"
"jopex",3,"SPEAKER"
"jorbac",2,"SPEAKER"
"jordanensis",1,"ARTICLE"
"jordano",1,"ABSTRACT"
"jordão",1,"SPEAKER"
"jordão",2,"ABSTRACT"
"jordão",14,"ARTICLE"
"jorge",122,"ARTICLE"
"jorge",151,"BOOK"
"jorge",165,"ABSTRACT"
"jorge",199,"SPEAKER"
"jorge",388,"BOOK_CHAPTER"
"Jorge Adilson Gondim Pereira",1,"NAME"
"Jorge Adriano Ferreira De Souza",1,"NAME"
"Jorge Alberto da Costa Rocha",1,"NAME"
"Jorge Aliomar Barreiros Dantas",1,"NAME"
"jorgeamadiana",1,"ARTICLE"
"jorgeamadiano",8,"BOOK_CHAPTER"
"Jorge Anderson Paiva Ramos",1,"NAME"
"Jorge Antonio Alardo Rodrigues de Freitas",1,"NAME"
"Jorge Antonio Silva Costa",1,"NAME"
"Jorge Augusto Alves Da Silva",1,"NAME"
"Jorge Augusto Beck Filho",1,"NAME"
"Jorge Chiapetti",1,"NAME"
"Jorge Costa Do Nascimento",1,"NAME"
"Jorge da Silva Júnior",1,"NAME"
"Jorge Henrique Bezerra de Lima",1,"NAME"
"Jorge Henrique De Oliveira Sales",1,"NAME"
"jorgei",2,"ARTICLE"
"Jorge Jesus de Almeida",1,"NAME"
"Jorge Lima De Oliveira Filho",1,"NAME"
"Jorge Lopes Cavalcante Neto",1,"NAME"
"Jorge Luiz Barauna da Costa",1,"NAME"
"Jorge Luiz Fortuna",1,"NAME"
"Jorge Luiz Maltez De Matos",1,"NAME"
"Jorge Luiz Nery de Santana",1,"NAME"
"Jorge Luiz Rubbo Abdo",1,"NAME"
"Jorge Luiz Santos Fernandes",1,"NAME"
"Jorge Luiz Seriano dos Santos",1,"NAME"
"Jorge Onodera",1,"NAME"
"Jorge Paulo de Oliveira Neres",1,"NAME"
"Jorge Roberto Tavares Almeida",1,"NAME"
"Jorgeval Andrade Borges",1,"NAME"
"Jorge Viana Santos",1,"NAME"
"Jorge Vicente Mamedio da Silva",1,"NAME"
"Jorima Valoz Dos Santos",1,"NAME"
"jormada",2,"SPEAKER"
"jormec",2,"SPEAKER"
"jornabio",14,"SPEAKER"
"jornada",7,"ABSTRACT"
"jornada",17,"ARTICLE"
"jornada",48,"BOOK"
"jornada",56,"BOOK_CHAPTER"
"jornada",3956,"SPEAKER"
"jornadaada",1,"SPEAKER"
"jornadadedc1uneb",2,"SPEAKER"
"jornadas",5,"ABSTRACT"
"jornadas",7,"ARTICLE"
"jornadas",8,"BOOK"
"jornadas",24,"BOOK_CHAPTER"
"jornadas",273,"SPEAKER"
"jornade",2,"SPEAKER"
"jornades",3,"SPEAKER"
"jornado",2,"SPEAKER"
"jornais",12,"ABSTRACT"
"jornais",26,"ARTICLE"
"jornais",80,"BOOK_CHAPTER"
"jornal",13,"SPEAKER"
"jornal",35,"ABSTRACT"
"jornal",48,"BOOK"
"jornal",55,"ARTICLE"
"jornal",120,"BOOK_CHAPTER"
"jornalimso",8,"BOOK_CHAPTER"
"jornalism",2,"SPEAKER"
"jornalismo",54,"ARTICLE"
"jornalismo",63,"BOOK"
"jornalismo",89,"SPEAKER"
"jornalismo",176,"BOOK_CHAPTER"
"jornalismo",223,"ABSTRACT"
"jornaliso",1,"SPEAKER"
"jornalista",1,"SPEAKER"
"jornalista",5,"ARTICLE"
"jornalista",16,"BOOK_CHAPTER"
"jornalista",26,"ABSTRACT"
"jornalistas",4,"ARTICLE"
"jornalistas",4,"SPEAKER"
"jornalistas",8,"BOOK_CHAPTER"
"jornalística",6,"ABSTRACT"
"jornalística",7,"BOOK"
"jornalística",17,"ARTICLE"
"jornalísticas",11,"ARTICLE"
"jornalístico",1,"SPEAKER"
"jornalístico",8,"ABSTRACT"
"jornalístico",8,"BOOK"
"jornalístico",21,"ARTICLE"
"jornalístico",79,"BOOK_CHAPTER"
"jornalísticos",2,"SPEAKER"
"jornalísticos",6,"ABSTRACT"
"jornalísticos",13,"ARTICLE"
"jornalísticos",24,"BOOK_CHAPTER"
"jornalsimo",2,"ABSTRACT"
"jornanda",3,"SPEAKER"
"Jornandes Jesús Correia",1,"NAME"
"jornaped",4,"SPEAKER"
"jornda",4,"SPEAKER"
"jornut",1,"SPEAKER"
"jorquera",2,"ABSTRACT"
"Jorsinai De Argolo Souza",1,"NAME"
"Josaline Chaves Da Costa",1,"NAME"
"Josane Moreira de Oliveira",1,"NAME"
"Josane Silva Souza",1,"NAME"
"Josânia Silva Santos",1,"NAME"
"Josanne Francisca Morais Araújo",1,"NAME"
"josbel",2,"ARTICLE"
"jose",2,"ABSTRACT"
"jose",4,"ARTICLE"
"josé",47,"SPEAKER"
"josé",83,"BOOK"
"josé",89,"ABSTRACT"
"josé",108,"ARTICLE"
"josé",175,"BOOK_CHAPTER"
"José Adolfo De Almeida Neto",1,"NAME"
"José Ailton Conceição Bispo",1,"NAME"
"José Ailton Oliveira Carneiro",1,"NAME"
"José Alves De Jesus",1,"NAME"
"José Alves Dias",1,"NAME"
"José Amancio Macedo Santos",1,"NAME"
"José Amândio Barbosa Júnior",1,"NAME"
"José Antonio Carneiro Leão",1,"NAME"
"José Antonio Gonçalves Dos Santos",1,"NAME"
"José Aparecido Alves Pereira",1,"NAME"
"Jose Araujo Avelino",1,"NAME"
"José Augusto Gomes Azevêdo",1,"NAME"
"Jose Augusto Laranjeiras Sampaio",1,"NAME"
"José Augusto Ramos da Luz",1,"NAME"
"José Benedito Andrade de Oliveira",1,"NAME"
"José Bites De Carvalho",1,"NAME"
"José Boaventura Zumaêta Costa",1,"NAME"
"José Bonifácio Do Amparo Sobrinho",1,"NAME"
"José Borges dos Santos Filho",1,"NAME"
"José Brilhante De Sousa Neto",1,"NAME"
"José Cairo Júnior",1,"NAME"
"José Carlos Da Silva Simplício",1,"NAME"
"José Carlos De Araujo Júnior",1,"NAME"
"José Carlos De Araujo Silva",1,"NAME"
"José Carlos De Camargo",1,"NAME"
"José Carlos De Carvalho",1,"NAME"
"José Carlos De Cerqueira Moraes",1,"NAME"
"José Carlos Felix",1,"NAME"
"José Carlos Martins Oliveira",1,"NAME"
"José Carlos Melo Miranda de Oliveira",1,"NAME"
"José Carlos Morante Filho",1,"NAME"
"José Carlos Oliveira De Jesus",1,"NAME"
"José Carlos Santana Queiroz",1,"NAME"
"Jose Carlos Silveira Duarte",1,"NAME"
"José Cirqueira Martins Júnior",1,"NAME"
"José Claudio De Oliveira Flores",1,"NAME"
"José Cláudio Faria",1,"NAME"
"José Cláudio Rocha",1,"NAME"
"José de Bessa Júnior",1,"NAME"
"José de Souza Andrade Neto",1,"NAME"
"José Dirceu Campos Góes",1,"NAME"
"Jose Eduardo Jesus da Silva",1,"NAME"
"José Eduardo Ungar de Sá",1,"NAME"
"José Emilliano Laranjeira Pereira",1,"NAME"
"José Ernane Carneiro Carvalho Filho",1,"NAME"
"José Everaldo Oliveira Santos",1,"NAME"
"José Fábio Andrade Sapucaia",1,"NAME"
"José Fábio Da Silva Albuquerque",1,"NAME"
"Josefa Sônia Pereira Da Fonseca",1,"NAME"
"José Fernando Andrade Costa",1,"NAME"
"josefina",2,"ARTICLE"
"José Flávio Soares",1,"NAME"
"José Francisco Da Silva Filho",1,"NAME"
"Jose Frederico Baylao Neto",1,"NAME"
"Jose Fredson Souza Silva",1,"NAME"
"Jose Geraldo dos Reis Santos",1,"NAME"
"José Geraldo Gonçalves De Oliveira Júnior",1,"NAME"
"José Gileá de Souza",1,"NAME"
"José Gledison Rocha Pinheiro",1,"NAME"
"Jose Hilberto de Oliveira",1,"NAME"
"José Humberto Almeida de Cerqueira",1,"NAME"
"José Humberto Da Silva",1,"NAME"
"José Humberto Felix De Souza",1,"NAME"
"Jose Ivaldo de Brito Ferreira",1,"NAME"
"José Jackson Reis Dos Santos",1,"NAME"
"José Jorge Andrade Damasceno",1,"NAME"
"José Lázaro Lins Ribas",1,"NAME"
"josélia",3,"SPEAKER"
"Joselice Almeida Gois",1,"NAME"
"José Lima de Menezes",1,"NAME"
"Joseline Pippi",1,"NAME"
"Joselisa Maria Chaves",1,"NAME"
"Joselita Alves De Miranda",1,"NAME"
"Joselita Cardoso De Souza",1,"NAME"
"Joselita Moura Sacramento",1,"NAME"
"Joselito Brito De Almeida",1,"NAME"
"Joselito Manoel De Jesus",1,"NAME"
"Joselito Viana de Souza",1,"NAME"
"Jose Lucio Santos Muniz",1,"NAME"
"Jose Luis Caetano Da Silva",1,"NAME"
"José Luiz de França Filho",1,"NAME"
"José Luiz Rech",1,"NAME"
"josely",8,"BOOK_CHAPTER"
"José Macêdo Leôncio",1,"NAME"
"Jose Manuel Teixeira Castrillon",1,"NAME"
"josemar",2,"ABSTRACT"
"josemar",8,"BOOK_CHAPTER"
"Josemar Da Silva Martins",1,"NAME"
"Josemare Pereira Dos Santos Pinheiro",1,"NAME"
"José Mário Feitosa Lima",1,"NAME"
"José Marques Pereira",1,"NAME"
"Josemar Rodrigues De Souza",1,"NAME"
"José Martins De Lima Neto",1,"NAME"
"Josemeire Machado Dias",1,"NAME"
"Josemiller Rodrigues Amorim Felix",1,"NAME"
"José Milton Pinheiro De Souza",1,"NAME"
"José Miranda Oliveira Júnior",1,"NAME"
"Josenéia Silva Costa",1,"NAME"
"Josenildo de Sousa Alves",1,"NAME"
"Josenilton Nunes Vieira",1,"NAME"
"Joseni Pereira Meira Reis",1,"NAME"
"José Olimpio De Souza Júnior",1,"NAME"
"José Pedro Kunhavalik",1,"NAME"
"joseph",7,"ARTICLE"
"joseph",8,"ABSTRACT"
"Joseph Wallace Faria Bandeira",1,"NAME"
"José Plínio De Oliveira",1,"NAME"
"José Portugal dos Santos Ramos",1,"NAME"
"José Raimundo Oliveira Lima",1,"NAME"
"José Raniere Ferreira de Santana",1,"NAME"
"José Renato De Castro Pessôa",1,"NAME"
"José Renato Sena Oliveira",1,"NAME"
"José Ricardo de Oliveira Santos",1,"NAME"
"Jose Ricardo Marques dos Santos",1,"NAME"
"Jose Ricardo Moreno Pinho",1,"NAME"
"José Roberto Cardoso Meireles",1,"NAME"
"José Roberto De Araujo Fontoura",1,"NAME"
"José Roberto Gomes Rodrigues",1,"NAME"
"José Rubens Mascarenhas De Almeida",1,"NAME"
"José Silva",1,"NAME"
"Jose Slaibi Filho",1,"NAME"
"Josete Bispo Ribeiro",1,"NAME"
"Jose Valdir Jesus De Santana",1,"NAME"
"Josevandro Chagas Soares",1,"NAME"
"Jose Veiga Viñal Junior",1,"NAME"
"Jose Vicente Cardoso Santos",1,"NAME"
"José Vicente Santos Mendes",1,"NAME"
"José Vieira do Nascimento Júnior",1,"NAME"
"José Walter Gaspar",1,"NAME"
"José Welton Ferreira Dos Santos Junior",1,"NAME"
"José Wildes Barbosa Dos Santos",1,"NAME"
"josiane",4,"ARTICLE"
"Josiane Mota Lopes",1,"NAME"
"Josias Alves De Jesus",1,"NAME"
"Josias Benevides da Silva",1,"NAME"
"josicélia",1,"ABSTRACT"
"josif",1,"SPEAKER"
"Josilda Batista Lima Mesquita Xavier",1,"NAME"
"josildeth",2,"ABSTRACT"
"Josilene Silva Da Costa",1,"NAME"
"Josinaldo Gomes Batista",1,"NAME"
"Josinaldo Leal de Oliveira",1,"NAME"
"Josinéa Amparo Rocha Cristal",1,"NAME"
"josinei",8,"BOOK_CHAPTER"
"Josivaldo Pires De Oliveira",1,"NAME"
"Joslei Viana De Souza",1,"NAME"
"joslin",2,"ABSTRACT"
"josmara",4,"ABSTRACT"
"Josmar Barreto Duarte",1,"NAME"
"Jossel Borges Santos",1,"NAME"
"jost",4,"ARTICLE"
"josué",2,"ABSTRACT"
"josué",2,"SPEAKER"
"josué",16,"BOOK_CHAPTER"
"Josué Cândido Da Silva",1,"NAME"
"Josué De Souza Brandão Júnior",1,"NAME"
"jouefs",2,"SPEAKER"
"joueurs",2,"ARTICLE"
"journal",13,"ARTICLE"
"journal",101,"ABSTRACT"
"journalism",2,"ARTICLE"
"journalistic",2,"ARTICLE"
"journals",2,"ABSTRACT"
"journals",8,"ARTICLE"
"journée",3,"SPEAKER"
"journèe",2,"SPEAKER"
"journées",9,"SPEAKER"
"journey",4,"ARTICLE"
"jours",2,"SPEAKER"
"joute",2,"ARTICLE"
"jovaed",2,"SPEAKER"
"jovchelovitch",2,"ABSTRACT"
"jovem",19,"ABSTRACT"
"jovem",19,"SPEAKER"
"jovem",26,"ARTICLE"
"jovem",80,"BOOK"
"jovem",104,"BOOK_CHAPTER"
"joven",2,"ABSTRACT"
"joven",8,"BOOK_CHAPTER"
"joven",64,"BOOK"
"jovenes",4,"SPEAKER"
"jóvenes",8,"ARTICLE"
"jóvenes",13,"SPEAKER"
"jóvenes",32,"BOOK_CHAPTER"
"jovens",341,"SPEAKER"
"jovens",448,"ABSTRACT"
"jovens",494,"BOOK"
"jovens",659,"ARTICLE"
"jovens",1947,"BOOK_CHAPTER"
"jovet",4,"SPEAKER"
"jovita",8,"BOOK_CHAPTER"
"joyce",8,"ARTICLE"
"joystick",8,"BOOK_CHAPTER"
"jpurol",1,"ARTICLE"
"jr1",3,"ARTICLE"
"json",4,"ARTICLE"
"juá",4,"ARTICLE"
"juacema",2,"ARTICLE"
"juan",4,"ARTICLE"
"juan",5,"ABSTRACT"
"juan",8,"BOOK"
"juan",32,"BOOK_CHAPTER"
"juana",8,"BOOK"
"juana",8,"BOOK_CHAPTER"
"Juan Alberto Leyva Cruz",1,"NAME"
"Juan Facundo Sarmiento",1,"NAME"
"Juan Félix Pari Huiza",1,"NAME"
"Juan Ignacio Azpeitia",1,"NAME"
"juans",8,"BOOK"
"juanuária",1,"SPEAKER"
"juarez",2,"ARTICLE"
"juatuba",8,"BOOK_CHAPTER"
"juazeirense",1,"ABSTRACT"
"juazeirense",2,"ARTICLE"
"juazeirenses",2,"ARTICLE"
"juazeirenses",8,"BOOK"
"juazeiro",10,"SPEAKER"
"juazeiro",55,"BOOK"
"juazeiro",90,"ARTICLE"
"juazeiro",111,"ABSTRACT"
"juazeiro",215,"BOOK_CHAPTER"
"jubarte",1,"ABSTRACT"
"jubiabá",2,"SPEAKER"
"jubiabá",6,"ARTICLE"
"jubiabá",16,"BOOK_CHAPTER"
"jubileu",10,"SPEAKER"
"jubra",1,"ARTICLE"
"jubra",7,"SPEAKER"
"juc",8,"BOOK"
"juca",8,"BOOK_CHAPTER"
"juçara",3,"ARTICLE"
"Jucelho Dantas da Cruz",1,"NAME"
"Jucelia Macedo Pacheco",1,"NAME"
"Juciana Santos Cerqueira",1,"NAME"
"Juciara Costa da Fonseca Rios",1,"NAME"
"Juciara De Santana Silva",1,"NAME"
"Juciara Maria Oliveira Cunha",1,"NAME"
"Juciene Silva De Sousa Nascimento",1,"NAME"
"Jucineide Silva Santos",1,"NAME"
"jucuruçu",13,"ARTICLE"
"jucuruçú",2,"ABSTRACT"
"judaica",3,"SPEAKER"
"judaica",8,"BOOK_CHAPTER"
"judaicas",2,"ABSTRACT"
"judaico",2,"ABSTRACT"
"judaico",2,"ARTICLE"
"judaico",16,"BOOK_CHAPTER"
"judaicos",2,"SPEAKER"
"judaísmo",1,"ABSTRACT"
"judaísmo",1,"ARTICLE"
"judaísmo",8,"BOOK"
"judaísmo",8,"BOOK_CHAPTER"
"judar",2,"ARTICLE"
"judas",3,"SPEAKER"
"judas",10,"ABSTRACT"
"jude",2,"ABSTRACT"
"judeu",1,"SPEAKER"
"judeus",1,"ABSTRACT"
"judeus",4,"SPEAKER"
"judgement",1,"ARTICLE"
"judgements",5,"ARTICLE"
"judgment",4,"ARTICLE"
"judgments",4,"ARTICLE"
"judia",8,"BOOK_CHAPTER"
"judicais",2,"ABSTRACT"
"judicante",2,"ABSTRACT"
"judicario",1,"ARTICLE"
"judicário",1,"ARTICLE"
"júdice",3,"ARTICLE"
"judiciais",1,"SPEAKER"
"judiciais",8,"BOOK"
"judiciais",12,"ABSTRACT"
"judiciais",16,"ARTICLE"
"judiciais",16,"BOOK_CHAPTER"
"judicial",6,"SPEAKER"
"judicial",15,"BOOK"
"judicial",32,"BOOK_CHAPTER"
"judicial",35,"ABSTRACT"
"judicial",49,"ARTICLE"
"judicialização",18,"ARTICLE"
"judicialização",32,"BOOK_CHAPTER"
"judiciária",1,"SPEAKER"
"judiciária",2,"ARTICLE"
"judiciária",8,"BOOK_CHAPTER"
"judiciária",13,"ABSTRACT"
"judiciario",8,"BOOK_CHAPTER"
"judiciário",7,"BOOK"
"judiciário",10,"SPEAKER"
"judiciário",23,"ABSTRACT"
"judiciário",27,"ARTICLE"
"judiciário",40,"BOOK_CHAPTER"
"judiciary",1,"ARTICLE"
"judith",2,"ABSTRACT"
"judith",6,"ARTICLE"
"judith",8,"BOOK"
"judith",8,"BOOK_CHAPTER"
"judo",3,"ARTICLE"
"judo",6,"ABSTRACT"
"judô",2,"ABSTRACT"
"judô",3,"SPEAKER"
"judô",10,"ARTICLE"
"judoka",2,"ARTICLE"
"juego",2,"ARTICLE"
"juegos",6,"ARTICLE"
"juerana",8,"ARTICLE"
"juevnil",2,"SPEAKER"
"jugendpsychiatrie",1,"SPEAKER"
"jugos",8,"BOOK_CHAPTER"
"jugular",1,"ARTICLE"
"juice",36,"ARTICLE"
"juices",20,"ARTICLE"
"juicio",1,"ARTICLE"
"juillet",1,"SPEAKER"
"juiz",3,"SPEAKER"
"juiz",20,"ARTICLE"
"juiz",76,"ABSTRACT"
"juiz",102,"BOOK_CHAPTER"
"juíza",7,"ABSTRACT"
"juizado",2,"ABSTRACT"
"juizado",4,"ARTICLE"
"juizado",8,"BOOK_CHAPTER"
"juizados",4,"ABSTRACT"
"juizados",6,"ARTICLE"
"juizados",6,"SPEAKER"
"juízes",1,"SPEAKER"
"juízes",2,"ARTICLE"
"juízo",2,"SPEAKER"
"juízo",6,"ARTICLE"
"juízo",8,"BOOK"
"juízo",8,"BOOK_CHAPTER"
"juízos",2,"ARTICLE"
"juízos",8,"BOOK_CHAPTER"
"juju",7,"BOOK"
"jul",5,"ABSTRACT"
"jul",5,"ARTICLE"
"Jules Batista Soares",1,"NAME"
"julgada",2,"ABSTRACT"
"julgada",7,"ARTICLE"
"julgada",8,"BOOK"
"julgado",8,"BOOK"
"julgador",1,"SPEAKER"
"julgador",4,"ABSTRACT"
"julgador",8,"BOOK_CHAPTER"
"julgadora",2,"ABSTRACT"
"julgadoras",5,"ABSTRACT"
"julgados",2,"ABSTRACT"
"julgados",2,"ARTICLE"
"julgados",8,"BOOK_CHAPTER"
"julgados",36,"BOOK"
"julgamento",7,"BOOK_CHAPTER"
"julgamento",8,"ABSTRACT"
"julgamento",15,"ARTICLE"
"julgamentos",8,"BOOK_CHAPTER"
"julho",9,"ARTICLE"
"julho",16,"BOOK"
"julho",32,"BOOK_CHAPTER"
"julho",40,"SPEAKER"
"julho",114,"ABSTRACT"
"julia",4,"ABSTRACT"
"julia",8,"BOOK_CHAPTER"
"júlia",3,"ABSTRACT"
"júlia",8,"BOOK"
"júlia",8,"BOOK_CHAPTER"
"júlia",10,"ARTICLE"
"Julia Carvalho Dias De Gouvêa",1,"NAME"
"Júlia Escalda Mendonça",1,"NAME"
"Julia Maria Da Silva Oliveira",1,"NAME"
"julián",2,"ARTICLE"
"juliana",2,"ARTICLE"
"juliana",4,"ABSTRACT"
"Juliana Alves Dos Santos",1,"NAME"
"Juliana Alves Leite Leal",1,"NAME"
"Juliana Amato Dos Santos Flausino",1,"NAME"
"Juliana Cavalcanti Santiago",1,"NAME"
"Juliana Côrtes De Freitas",1,"NAME"
"Juliana Costa Machado",1,"NAME"
"Juliana Cristina Salvadori",1,"NAME"
"Juliana Da Silva Oliveira",1,"NAME"
"Juliana Da Silveira Pinheiro",1,"NAME"
"Juliana de Oliveira Freitas Miranda",1,"NAME"
"Juliana De Orione Arraes Fagundes",1,"NAME"
"Juliana Figuerêdo Bastos",1,"NAME"
"Juliana Gomes Pimentel",1,"NAME"
"Juliana Laranjeira Pereira dos Santos",1,"NAME"
"Juliana Matos Macedo",1,"NAME"
"Juliana Monteiro Azevedo",1,"NAME"
"Juliana Nascimento Andrade",1,"NAME"
"Juliana Pereira De Quadros",1,"NAME"
"Juliana Ribeiro Carvalho",1,"NAME"
"Juliana Rocha Duarte Neves",1,"NAME"
"Juliana Santana Moura",1,"NAME"
"Juliana Santos Silva",1,"NAME"
"Juliana Stracieri",1,"NAME"
"Juliana Viana Freitas",1,"NAME"
"Juliana Zina",1,"NAME"
"Juliane Costa Silva",1,"NAME"
"Juliane Dos Santos Amorim",1,"NAME"
"Juliane Regina Trevisol",1,"NAME"
"Julian Hermogenes Quezada Celedon",1,"NAME"
"julianna",8,"BOOK_CHAPTER"
"Julianna Nascimento Torezani",1,"NAME"
"juliano",4,"ARTICLE"
"juliano",4,"SPEAKER"
"juliano",6,"ABSTRACT"
"juliano",16,"BOOK_CHAPTER"
"Juliano Fernandes Sassi",1,"NAME"
"Juliano Zaffalon Gerber",1,"NAME"
"julião",16,"BOOK_CHAPTER"
"Julice Oliveira Dias Dos Santos",1,"NAME"
"Julieta Rangel De Oliveira",1,"NAME"
"Julieta Sobreira Góes",1,"NAME"
"juliflora",1,"PATENT"
"juliflora",8,"BOOK_CHAPTER"
"juliflora",26,"ARTICLE"
"Julinara Silva Vieira Moitinho",1,"NAME"
"julio",2,"SPEAKER"
"julio",6,"ABSTRACT"
"julio",16,"BOOK_CHAPTER"
